,Author,Title,State,District,Description,DateBan
7763,"Blackall, Sophie",The Baby Tree,Texas,North East,"Unknown, Removed from shelves for review on basis of Rep Krause letter",2021-12-01
7764,"Blackall, Sophie",The Baby Tree,Wisconsin,School District of Cadott Community,"Retained Restricted, Retained - parent appealed waiting - RETURNED TO ORIGINAL LOCATION 8/22, BOARD - REMOVED to gUDIANCE OFFICE",2022-3-01
7765,"Martin, Ann M.",The Babysitters Club: Boy Crazy Stacey (Series),Missouri,Fox C-6 School District,"The Babysitters Club, Unknown",2022-3-01
7766,"Williams, Kate",The Babysitters Coven,Wyoming,Campbell County Libraries,"Retained, 2024: New Director reviewed - retained in teen section, https://www.wyomingnews.com/news/local_news/campbell-county-library-director-applies-community-standards-to-challenged-books/article_548caa90-ee0f-11ee-b2ec-d70baf5b985d.html",2024-3-01
7767,"Williams, Kate",The Babysitters Coven,Wyoming,Campbell County Libraries,,
7768,"Atwood, Margaret",The Handmaid's Tale: The Graphic Novel,Pennsylvania,Blackhawk School District,"Still in Process, 10/23 School board changes policy - and complains about some of the books. Superintendent removes books. After community pushback, reverse policy. Books now on shelves in review., https://www.timesonline.com/story/news/education/2023/10/15/blackhawk-schools-latest-district-to-consider-book-banning-beaver-county/71167725007/, https://www.post-gazette.com/news/education/2023/12/14/blackhawk-school-district-library-books/stories/202312140133",2023-10-01
7769,"Tynion, James IV",The Backstagers (Series),Florida,Clay County District Schools,The Backstagers,2022-7-01
7770,"Blabey, Aaron",The Bad Guys,Florida,Lee County School,Retained,2022-5-01
7771,"Alley, Kristy Dallas",The Ballad of Ami Miles,Tennessee,Collierville Schools,"Returned, TWO",2022-2-01
7772,"Robertson, David",The Barren Grounds,Texas,Katy ISD,"Retained Restricted, Restricted to Junior HIgh And Up",2021-12-01
7773,"Rylant, Cynthia","The Beautiful Stories of Life: Six Greeks Myths, Retold",Missouri,Wentzville School District,,2022-9-01
7774,"Schneider, Robyn",The Beginning of Everything,Texas,Eanes,"Still in Process, Middle School",2022-3-01
7775,"Plath, Sylvia",The Bell Jar,Texas,Klein ISD,Unknown,2021-01-01
7776,"Ransome, James E.",The Bell Rang,Florida,Clay County District Schools,,2022-7-01
7777,"Braden, Ann",The Benefits of Being An Octopus,Mississippi,Madison County Schools,"Retained Restricted, RETAINED (7/2022), Requires parent permission",2022-4-01
7778,"Braden, Ann",The Benefits of Being An Octopus,Mississippi,Unknown,"Unknown, Author twitter - no other detail",
7779,"Sharenow, Robert",The Berlin Boxing Club,Florida,Clay County District Schools,,2022-7-01
7780,"Sharenow, Robert",The Berlin Boxing Club,Florida,Collier County Public Schools,"Retained Restricted, FLCA, Parental Advisory label added in Feb 2022",2022-1-01
7781,"Sharenow, Robert",The Berlin Boxing Club,Florida,Indian River County Schools,"Unknown, Status Change: 2/28/22",2021-11-01
7782,"Pancholy, Maulik",The Best at It,Florida,Indian River County Schools,"Banned/Removed, Status Change: 2/28/22",2021-11-01
7783,"Pancholy, Maulik",The Best at It,Texas,Prosper ISD,"Unknown, Complaint Filed - status unclear",2022-1-01
7784,"Lund, Cameron",The Best Laid Plans,Florida,Clay County District Schools,Banned/Removed,2023-1-01
7785,"Lund, Cameron",The Best Laid Plans,Michigan,Gladwin Community Schools,Unknown,2022-5-01
7786,"Peck, Richard",The Best Man,Florida,Clay County District Schools,,2022-7-01
7787,"Peck, Richard",The Best Man,Florida,Duval County Public Schools,Unknown,2022-1-01
7788,"Peck, Richard",The Best Man,Georgia,Forsyth County Schools,"Unknown, in challenge process?",
7789,"Peck, Richard",The Best Man,Texas,Granbury Independent School District,"Retained, Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",2022-1-01
7790,"Peck, Richard",The Best Man,Texas,McKinney,Unknown,2022-2-01
7791,"Peck, Richard",The Best Man,Texas,North East,"Unknown, Removed from shelves for review on basis of Rep Krause letter",2021-12-01
7792,"Peck, Richard",The Best Man,Texas,Prosper ISD,"Unknown, Complaint Filed - status unclear",2022-1-01
7793,"Bui, Thi",The Best We Could Do: An Illustrated Memoir,Missouri,Wentzville School District,,2022-9-01
7794,"Kingsley, Jessica",The Big Book of Pride Flags,Arkansas,Crawford County Library System,"Reshelved, These and other books are being removed to adult sections of the library where they can not be seen by children unsupervised.",2022-12-01
7795,"Hinebaugh, Olivia","The Birds, the Bees, and You and Me",Texas,North East,"Unknown, Removed from shelves for review on basis of Rep Krause letter",2021-12-01
7796,"Atta, Dean",Black Flamingo,Florida,Collier County Public Schools,"Retained Restricted, FLCA, Parental Advisory label added in Feb 2022",2022-1-01
7797,"Atta, Dean",Black Flamingo,Florida,Indian River County Schools,"Unknown, Status Change: 2/28/22",2021-11-01
7798,"Atta, Dean",Black Flamingo,Texas,McKinney,Unknown,2022-2-01
7799,"Atta, Dean",Black Flamingo,Texas,North East,"Unknown, Removed from shelves for review on basis of Rep Krause letter",2021-12-01
7800,"Atta, Dean",Black Flamingo,Tennessee,Collierville Schools,"Returned, THREE",2022-2-01
7801,"Joseph, Frederick",The Black Friend: On Being a Better White Person,Florida,Clay County District Schools,Unknown,2022-7-01
7802,"Joseph, Frederick",The Black Friend: On Being a Better White Person,Florida,Clay County District Schools,Retained,2023-1-01
7803,"Joseph, Frederick",The Black Friend: On Being a Better White Person,Texas,Spring Branch ISD,Retained Restricted,2023-1-01
7804,"Joseph, Frederick",The Black Friend: On Being a Better White Person,Washington,Columbia County Rural Library District,Unknown,2022-9-01
7805,"Joseph, Frederick",The Black Friend: On Being a Better White Person,Texas,Eanes,"Still in Process, High School",2022-3-01
7806,"Joseph, Frederick",The Black Friend: On Being a Better White Person,Texas,Eanes,"Still in Process, Middle School",2022-3-01
7807,"Joseph, Frederick",The Black Friend: On Being a Better White Person,Pennsylvania,Hempfield Area School District,"Unknown, challenged, retained, escalated to board",2021-01-01
7808,"Joseph, Frederick",The Black Friend: On Being a Better White Person,Florida,Indian River County Schools,"Unknown, Status Change: 2/28/22",2021-11-01
7809,"Joseph, Frederick",The Black Friend: On Being a Better White Person,Mississippi,Madison County Schools,"Retained Restricted, RETAINED HS ONLY (7/2022), Requires parent permission",2022-4-01
7810,"Reed, Christina Hammonds",The Black Kids,Florida,Clay County District Schools,,2022-7-01
7811,"Reed, Christina Hammonds",The Black Kids,Florida,Indian River County Schools,"Unknown, Status Change: 2/28/22",2021-11-01
7812,"Parks, Peggy J.",The Black Lives Matter Movement,Tennessee,Collierville Schools,"Unknown, Not rated",2022-2-01
7813,"Hickman, Jonathan",The Black Monday Murders (Series),Missouri,Wentzville School District,The Black Monday Murders,2022-9-01
7814,"Popović, Lana",The Blood Countess,Texas,North East,"Unknown, Removed from shelves for review on basis of Rep Krause letter",2021-12-01
7815,"Morrison, Toni",The Bluest Eye,South Carolina,Beaufort County School District,Unknown,2022-10-01
7816,"Morrison, Toni",The Bluest Eye,Ohio,Big Walnut Schools Delaware,,2022-10-01
7817,"Morrison, Toni",The Bluest Eye,Florida,Clay County District Schools,Weeded/Deselectednned,2022-01-01
7818,"Morrison, Toni",The Bluest Eye,Florida,Escambia County Public Schools,,2022-9-01
7819,"Morrison, Toni",The Bluest Eye,Massachusetts,Old Rochester Regional School District,,2022-10-01
7820,"Morrison, Toni",The Bluest Eye,Utah,Washington County School District,"Banned/Removed, MATERIALS REMOVED DUE TO BRIGHT-LINE VIOLATIONS, https://www.washk12.org/library-media/material-status/",2022-7-01
7821,"Morrison, Toni",The Bluest Eye,Texas,Humble ISD,,2022-10-01
7822,"Morrison, Toni",The Bluest Eye,Pennsylvania,Penncrest,,2023-1-01
7823,"Morrison, Toni",The Bluest Eye,Florida,Highlands School Board,,2022-7-01
7824,"Morrison, Toni",The Bluest Eye,Virginia,Madison County Public Schools,Banned/Removed,2023-1-01
7825,"Morrison, Toni",The Bluest Eye,Florida,Pinellas County Schools,Banned/Removed,2023-1-01
7826,"Morrison, Toni",The Bluest Eye,Michigan,Milan Area Schools,,2023-1-01
7827,"Morrison, Toni",The Bluest Eye,Texas,Keller ISD,Banned/Removed,2022-01-01
7828,"Morrison, Toni",The Bluest Eye,Pennsylvania,Methacton School District,,2023-1-01
7829,"Morrison, Toni",The Bluest Eye,Florida,Broward County Public Schools,Retained/Restricted,2022-10-01
7830,"Morrison, Toni",The Bluest Eye,South Carolina,Horry County Schools,,2022-12-01
7831,"Morrison, Toni",The Bluest Eye,Colorado,Wellington Public Library,Unknown,2022-8-01
7832,"Morrison, Toni",The Bluest Eye,Louisiana,St. Tammany Parish Library,"Retained, UPDATE OCT 2023: Challenger (St. Tammany Parish Library Accountability Project) to 150 titles withdrew all challenges - seeing legislative response., https://ncac.org/news/over-150-books-have-been-restricted-at-st-tammany-parish-library-in-louisiana, https://lailluminator.com/briefs/northshore-book/, https://www.nola.com/news/northshore/st-tammany-library-board-to-return-all-books-to-shelves/article_c0d2276e-74f9-11ee-8892-dfaca601a4d8.html",2022-11-01
7833,"Morrison, Toni",The Bluest Eye,Oregon,Canby School District,"Retained, https://www.kptv.com/2023/04/11/canby-parents-students-upset-after-36-books-pulled-school-libraries/, https://www.oregonlive.com/education/2023/10/after-complaints-about-36-books-canby-school-district-bans-just-1.html",2023-4-01
7834,"Morrison, Toni",The Bluest Eye,Pennsylvania,Central Bucks School District,"Still in Process, Most of the information comes through newspaper articles about all of these books. It seems likely they were initiated by community members and possibly removed from shelves - but that hasn't been confirmed., In efiles",2023-2-01
7835,"Morrison, Toni",The Bluest Eye,Pennsylvania,Central Bucks School District,"Still in Process, BOOK LOOKS, In efiles",2023-2-01
7836,"Morrison, Toni",The Bluest Eye,Florida,Duval County Public Schools,"Banned/Removed, https://news.yahoo.com/morally-damning-comments-dcps-book-210922717.html?guccounter=1",2023-3-01
7837,"Morrison, Toni",The Bluest Eye,Idaho,Kuna School District,https://www.idahopress.com/news/local/kuna-school-district-places-25-books-under-restricted-access-after-idaho-legislators-request-removal/article_a82ba3ce-ad81-11ed-b90d-ff1ff44b82f6.html,2023-2-01
7838,"Morrison, Toni",The Bluest Eye,Florida,Martin County Schools,"Banned/Removed, https://www.wptv.com/news/education/dozens-of-books-removed-from-martin-county-schools",2023-2-01
7839,"Morrison, Toni",The Bluest Eye,North Carolina,Pender County Schools,https://portcitydaily.com/local-news/2023/02/15/41-books-will-come-off-pender-county-schools-shelves-while-they-undergo-review/,2023-2-01
7840,"Morrison, Toni",The Bluest Eye,Pennsylvania,Penncrest,"Banned/Removed, https://news.yahoo.com/pulitzer-prize-winners-fantasy-series-144800265.html",2023-2-01
7841,"Morrison, Toni",The Bluest Eye,Pennsylvania,Perkiomen Valley School District,"Retained, 7 of the 9 challenges in the district were from the Board Chair., https://www.pottsmerc.com/2023/04/01/perk-valley-school-board-president-has-filed-most-book-challenges-in-district/",2023-3-01
7842,"Morrison, Toni",The Bluest Eye,Virginia,Spotsylvania County Public Schools,"Banned/Removed, First challenged in May 2022 - returned to shelves likely during appeal to board. District review committee STILL said they belonged on shelves. Superintendent said no., https://www.nbcwashington.com/news/local/14-books-being-removed-from-spotsylvania-school-libraries/3317248/",2023-3-01
7843,"Morrison, Toni",The Bluest Eye,New Jersey,Washington Township High School,"Removed - Curriculum, news article from NEXIS in files",2022-11-01
7844,"Morrison, Toni",The Bluest Eye,,Unknown,Retained,
7845,"Morrison, Toni",The Bluest Eye,North Carolina,Cumberland County Schools,"Unknown, After two complaints (possibly more) were received in the district in fall 2022, the district initiated an internal review to “ensure materials are appropriate for students at each grade level.” While under review, the titles were not physically removed f, https://www.fayobserver.com/story/news/education/2023/04/18/the-latest-on-cumberland-county-schools-books-review/70084133007/, https://www.fayobserver.com/story/opinion/2023/02/17/pitts-cumberland-schools-should-stop-the-book-killers-in-their-tracks/69911886007/",2022-11-01
7846,"Morrison, Toni",The Bluest Eye,Florida,Okaloosa County School District,"Still in Process, Internal review to determine compliance with state law., FFTRP",2023-1-01
7847,"Morrison, Toni",The Bluest Eye,Idaho,"Boise, Ada Community Library","Returned, UPDATE :RETURNED when library found it was in violation of open meeting Laws. the library board decided to review collections to determine whether matierla fell within current idaho statues for ""harmful to minors."" The board said they did and the books we, https://www.insider.com/idaho-public-library-book-ban-lgbtq-queer-harmful-to-children-2023-4, https://www.thedailybeast.com/ada-county-library-reverses-book-ban-after-breaking-open-meetings-law",2023-4-01
7848,"Morrison, Toni",The Bluest Eye,Virginia,Bedford County School District,"Unknown, Board member asked for review for ""concerning content",2022-2-01
7849,"Morrison, Toni",The Bluest Eye,Arkansas,Bentonville,Unknown,2022-2-01
7850,"Morrison, Toni",The Bluest Eye,West Virginia,Berkeley County Schools,"Unknown, unknown",2022-2-01
7851,"Morrison, Toni",The Bluest Eye,Texas,Birdville ISD,Unknown,2021-11-01
7852,"Morrison, Toni",The Bluest Eye,Oklahoma,Bristow Public Schools,"Retained/Restricted, Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online, Retained - AP Classes
Banned - HIgh School Libraries",2021-10-01
7853,"Morrison, Toni",The Bluest Eye,Utah,Canyons School District,"Unknown, violation of policy - parent emailed complaint - books pulled",2021-10-01
7854,"Morrison, Toni",The Bluest Eye,North Carolina,Catawba County Schools,"Retained/Restricted, Restricted to HS, https://www.qcnews.com/news/u-s/north-carolina/catawba-county/catawba-county-schools-chooses-to-restrict-an-additional-book/, https://docs.google.com/spreadsheets/d/1t3g4jeRvZtX0e8g0qplRcBpJf0Ohr3oMQe52kBWGGVY/edit#gid=0",2022-01-01
7855,"Morrison, Toni",The Bluest Eye,Georgia,Cherokee County School District,"Retained/Restricted, Challenged - maybe on shelves?",2022-2-01
7856,"Morrison, Toni",The Bluest Eye,Florida,Collier County Public Schools,Unknown,2022-6-01
7857,"Morrison, Toni",The Bluest Eye,North Carolina,Davidson County Schools,Unknown,2022-5-01
7858,"Morrison, Toni",The Bluest Eye,Utah,Davis School District,"Banned/Removed, Sensitive Materials Review Request, https://www.davis.k12.ut.us/academics/library/library",2023-3-01
7859,"Morrison, Toni",The Bluest Eye,Pennsylvania,Delaware Valley,Unknown,2022-3-01
7860,"Morrison, Toni",The Bluest Eye,Texas,Eanes,"Still in Process, High School",2022-3-01
7861,"Morrison, Toni",The Bluest Eye,Georgia,Forsyth County Schools,Unknown,2022-1-01
7862,"Morrison, Toni",The Bluest Eye,Missouri,Francis Howell,Retained,2021-10-01
7863,"Morrison, Toni",The Bluest Eye,Texas,Fredericksburg ISD,"Retained Restricted, rermoved while under review, Maybe formal challenge filed?",2022-3-01
7864,"Morrison, Toni",The Bluest Eye,Michigan,Gladwin Community Schools,Unknown,2022-5-01
7865,"Morrison, Toni",The Bluest Eye,Kansas,Goddard,Unknown,2021-11-01
7866,"Morrison, Toni",The Bluest Eye,Illinois,Harlem School District 122,Retained,2021-12-01
7867,"Morrison, Toni",The Bluest Eye,Florida,Hillsborough County Public Schools,Unknown,
7868,"Morrison, Toni",The Bluest Eye,Florida,Indian River County Schools,"Retained Restricted, Status Change: 2/28/22, High School Only",2021-11-01
7869,"Morrison, Toni",The Bluest Eye,Florida,Jackson County School Board,"Unknown, per order of Superintendent after receiving FCA mailing",2022-4-01
7870,"Morrison, Toni",The Bluest Eye,Texas,Keller ISD,"Retained, Challenge Date: March 7, 2022",2022-3-01
7871,"Morrison, Toni",The Bluest Eye,Texas,Klein ISD,Unknown,2021-01-01
7872,"Morrison, Toni",The Bluest Eye,Florida,Lee County School,"Retained Restricted, Received info from FCA - also formed ADHOC committee, Retained - Restricted",2022-2-01
7873,"Morrison, Toni",The Bluest Eye,Missouri,Lindbergh School District,Unknown,2021-10-01
7874,"Morrison, Toni",The Bluest Eye,Pennsylvania,Littlestown Area School District,Unknown,2022-4-01
7875,"Morrison, Toni",The Bluest Eye,Mississippi,Madison County Schools,"Retained Restricted, RESTRICT WITH PERMISSION HS (7/2022), Requires parent permission",2022-4-01
7876,"Morrison, Toni",The Bluest Eye,Utah,Murray City School District,"Sent in 11/21 note to school.

School wanted individual complaints per book - no response from parent, online ""outrage""",2021-11-01
7877,"Morrison, Toni",The Bluest Eye,Idaho,Nampa School District,"Banned/Removed, committee recommended further review, not immediate censorship",2022-5-01
7878,"Morrison, Toni",The Bluest Eye,Missouri,Nixa Public Schools,"Retained Restricted, in all cases, the complaintant requested the book be REMOVED, No longer visible on library shelves and can only be checked out wiht parent permission",2022-2-01
7879,"Morrison, Toni",The Bluest Eye,Pennsylvania,Pleasant Valley School District,"Retained Restricted, were removed from shelves - accessible by parent permission",2022-6-01
7880,"Morrison, Toni",The Bluest Eye,Florida,Polk County Schools,"Retained Restricted, RETAINED: REmoved Middle School - Retained HIGH SCHOOL",2022-1-01
7881,"Morrison, Toni",The Bluest Eye,Ohio,Rocky River City Schools,Unknown,
7882,"Morrison, Toni",The Bluest Eye,Florida,Santa Rosa County Schools,Unknown,2022-4-01
7883,"Morrison, Toni",The Bluest Eye,Florida,Sarasota County School,Unknown,2022-5-01
7884,"Morrison, Toni",The Bluest Eye,Florida,St. Johns County School District,"Retained, Only available in HS, https://www.staugustine.com/story/news/education/2022/08/27/st-johns-county-school-board-keeps-8-books-restricts-some/7896620001/?utm_source=pocket_mylist",2022-5-01
7885,"Morrison, Toni",The Bluest Eye,Missouri,St. Louis Region Schools,Unknown,
7886,"Morrison, Toni",The Bluest Eye,North Carolina,Union Academy,Unknown,2022-01-01
7887,"Morrison, Toni",The Bluest Eye,Colorado,University Schools Middle and High School Libraries (Charter School),Unknown,2022-5-01
7888,"Morrison, Toni",The Bluest Eye,Virginia,Virginia Beach,"Unknown, Displayed acts of molestation and contains sexually explicit language",2021-10-01
7889,"Morrison, Toni",The Bluest Eye,Washington,Walla Walla School District,"Unknown, Remained in circulation while under review - review scheduled for JAN 2022",2021-10-01
7890,"Morrison, Toni",The Bluest Eye,Florida,Walton County School District,"Removed, Actually removed",2022-4-01
7891,"Morrison, Toni",The Bluest Eye,Missouri,Wentzville School District,"Banned/Removed, removed while under review UPDATE: Removed 1/2022 UPDATE returned 2/25/22

Board overroad decided of curriculum committee/review committee 4-3 to pull the book from the libraries in the district.",2021-01-01
7892,"Morrison, Toni",The Bluest Eye,Tennessee,Wilson County Schools,"Retained Restricted, Although never avasilable in MS - but declared it BANNED anyway., Restricted to HS, Paper File, https://www.tennessean.com/story/news/education/2023/03/09/resident-sues-wilson-county-library-panel-over-secret-meeting/69977742007/",2022-4-01
7893,"Morrison, Toni",The Bluest Eye,New York,Yorktown Central School District,"Unknown, Books were taken from the MS and HS for members of the committee to read - but were not made unavailable.",2022-1-01
7894,"Nelson, Vaunda Micheaux","The Book Itch: Freedom, Truth, and Harlem's Greatest Bookstore",Pennsylvania,Central York School District,"Returned, Pulled (against policy)and returned to shelves after national outcry",2021-9-01
7895,"Weir, Meghan MacLean",The Book of Essie,Tennessee,Collierville Schools,"Returned, ONE",2022-2-01
7896,"Funk, Mason",The Book of Pride: LGBTQ Heroes Who Changed the World,Florida,Marion County Public Schools,,
7897,"Henriquez, Cristina",The Book of Unknown Americans,Texas,Leander,"Retained, 20.21 Leander Curr Review RESULTs for 21.22",
7898,"Reed, Amy",The Boy and Girl Who Broke the World,Florida,Clay County District Schools,Unknown,2022-7-01
7899,"Reed, Amy",The Boy and Girl Who Broke the World,Florida,Clay County District Schools,Retained,2023-1-01
7900,"de Gramont, Nina",The Boy I Love,Texas,Granbury Independent School District,"Retained, Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",2022-1-01
7901,"Williams, David",The Boy in the Dress,Florida,Clay County District Schools,,2022-7-01
7902,"Williams, David",The Boy in the Dress,Florida,Sarasota County School,Unknown,2022-5-01
7903,"Marsh, Nicola",The Boy Toy,Maine,Maine School Administrative District #6,"Still in Process, Community members read aloud passages from 8 books during the board meeting and asked the books be removed. The board voted to bypass policy and remove the books while under review because they felt the books were ""dangerous.""",2022-4-01
7904,"Clifton, Lucille",The Boy Who Didn't Believe in Spring,Pennsylvania,Central York School District,"Returned, Pulled (against policy)and returned to shelves after national outcry",2021-9-01
7905,"Couwenhoven, Terri",The Boys Guide to Growing Up: Choices and Changes in the Tween Years,Nebraska,Keene Memorial Library,"Reshelved, Moved to adult shelves after a visit from Mayor, City Admin, Library President.",2022-12-01
7906,"Uchida, Yoshiko",The Bracelet,Florida,Duval County Public Schools,Unknown,2022-1-01
7907,"Johnson, Cathy G.",The Breakaways,Florida,Escambia County Public Schools,,2022-9-01
7908,"Johnson, Cathy G.",The Breakaways,Florida,Clay County District Schools,Unknown,2022-7-01
7909,"Johnson, Cathy G.",The Breakaways,Florida,St. Lucie Public Schools,Removed - Curriculum,2022-9-01
7910,"Johnson, Cathy G.",The Breakaways,Texas,Keller ISD,Retained,2022-01-01
7911,"Johnson, Cathy G.",The Breakaways,Florida,Clay County District Schools,"Retained/Restricted, Restricted to HS",2023-1-01
7912,"Johnson, Cathy G.",The Breakaways,Florida,Martin County Schools,"Retained Restricted, https://www.wptv.com/news/education/dozens-of-books-removed-from-martin-county-schools",2023-2-01
7913,"Johnson, Cathy G.",The Breakaways,North Carolina,Cumberland County Schools,"Unknown, After two complaints (possibly more) were received in the district in fall 2022, the district initiated an internal review to “ensure materials are appropriate for students at each grade level.” While under review, the titles were not physically removed f, https://www.fayobserver.com/story/news/education/2023/04/18/the-latest-on-cumberland-county-schools-books-review/70084133007/, https://www.fayobserver.com/story/opinion/2023/02/17/pitts-cumberland-schools-should-stop-the-book-killers-in-their-tracks/69911886007/",2022-11-01
7914,"Johnson, Cathy G.",The Breakaways,Texas,Clear Creek ISD,"Retained/Restricted, Internal Audit, Restricted to Intermediate School",2021-10-01
7915,"Johnson, Cathy G.",The Breakaways,Florida,Collier County Public Schools,"Retained Restricted, FLCA, Parental Advisory label added in Feb 2022",2022-1-01
7916,"Johnson, Cathy G.",The Breakaways,Texas,Cypress-Fairbanks,"Banned/Removed, Krause List",2021-12-01
7917,"Johnson, Cathy G.",The Breakaways,Texas,Eanes,"Still in Process, Middle School",2022-3-01
7918,"Johnson, Cathy G.",The Breakaways,Texas,Eanes,Still in Process,2022-3-01
7919,"Johnson, Cathy G.",The Breakaways,Florida,Indian River County Schools,"Unknown, Status Change: 2/28/22",2021-11-01
7920,"Johnson, Cathy G.",The Breakaways,Texas,Katy ISD,"Unknown, Appropriate for middle school - 12/21 board meeting, Katy Parents Demand Answers from the district after finding books in campus libraries that contain vulgar and explicit material",2021-2-01
7921,"Johnson, Cathy G.",The Breakaways,Texas,Katy ISD,"Retained Restricted, Restricted from Elementary - Retained in middle school",2021-2-01
7922,"Johnson, Cathy G.",The Breakaways,Texas,Keller ISD,Retained,2021-11-01
7923,"Johnson, Cathy G.",The Breakaways,Texas,Lamar Consolidated ISD,"Unknown, newspaper had to do an open records request to get the book list",2021-12-01
7924,"Johnson, Cathy G.",The Breakaways,Texas,McKinney,Unknown,2022-2-01
7925,"Johnson, Cathy G.",The Breakaways,Utah,Murray City School District,"Sent in 11/21 note to school.

School wanted individual complaints per book - no response from parent, online ""outrage""",2021-11-01
7926,"Johnson, Cathy G.",The Breakaways,Texas,North East,"Unknown, NEISD Folder",2021-12-01
7927,"Johnson, Cathy G.",The Breakaways,Missouri,Rockwood School District,"Retained Restricted, Retained with restrictions",2021-10-01
7928,"Johnson, Cathy G.",The Breakaways,Texas,Spring Branch ISD,"Retained Restricted, Banned - Elementary, September 2021Removed from Elementary Libraries After Review",2021-9-01
7929,"Johnson, Cathy G.",The Breakaways,Florida,St. Johns County School District,"Retained Restricted, e, Grade 6 and above - only available in MS and HS, https://www.staugustine.com/story/news/education/2022/08/27/st-johns-county-school-board-keeps-8-books-restricts-some/7896620001/?utm_source=pocket_mylist",2022-4-01
7930,Chii,The Bride Was a Boy,Tennessee,Collierville Schools,"Returned, THREE",2022-2-01
7931,"Konigsberg, Bill",The Bridge,Texas,McKinney,Unknown,2022-2-01
7932,"Konigsberg, Bill",The Bridge,Texas,North East,"Unknown, Removed from shelves for review on basis of Rep Krause letter",2021-12-01
7933,"Konigsberg, Bill",The Bridge,Tennessee,Collierville Schools,"Returned, TWO",2022-2-01
7934,"Capetta, Amy Rose",The Brilliant Death (The Brilliant Death Series),Tennessee,Collierville Schools,"The Brilliant Death, Returned, THREE",2022-2-01
7935,"George, Jean Craighead",The Buffalo Are Back,Tennessee,Williamson County Schools,"Retained, Challenge (includes a challenge to the larger ELA curriculum) - Committee recommended continued use, Second Grade",2022-1-01
7936,"Riordan, Rick",The Burning Maze (The Trials of Apollo Series),Tennessee,Collierville Schools,"The Trials of Apollo Series, Returned, ONE",2022-2-01
7937,"Polacco, Patricia",The Butterfly,Pennsylvania,Central York School District,"Returned, Pulled (against policy)and returned to shelves after national outcry",2021-9-01
7938,"Hill, Joe and Ciaramella, Jason",The Cape,Missouri,Wentzville School District,,2022-9-01
7939,"Sell, Chad",The Cardboard Kingdom,Florida,Clay County District Schools,,2022-7-01
7940,"Foley, Jessie Ann",The Carnival at Bray,Utah,Alpine School District,"Banned/Removed, Article refers to SENSITIVE MATERIALS, https://www.kuer.org/education/2022-11-29/these-are-the-22-books-removed-from-utahs-alpine-school-district",2022-11-01
7941,"Foley, Jessie Ann",The Carnival at Bray,South Carolina,Beaufort County School District,Unknown,2022-10-01
7942,"Foley, Jessie Ann",The Carnival at Bray,Florida,Clay County District Schools,Weeded/Deselectednned,2022-01-01
7943,"Foley, Jessie Ann",The Carnival at Bray,Florida,Escambia County Public Schools,,2022-10-01
7944,"Foley, Jessie Ann",The Carnival at Bray,Utah,Washington County School District,"Still in Process, MATERIALS REMOVED DUE TO BRIGHT-LINE VIOLATIONS, https://www.washk12.org/library-media/material-status/",2022-7-01
7945,"Foley, Jessie Ann",The Carnival at Bray,Pennsylvania,Central Bucks School District,"Still in Process, LOTS OF COMMENTS, In efiles",2023-2-01
7946,"Foley, Jessie Ann",The Carnival at Bray,Florida,Martin County Schools,"Banned/Removed, https://www.wptv.com/news/education/dozens-of-books-removed-from-martin-county-schools",2023-2-01
7947,"Foley, Jessie Ann",The Carnival at Bray,Pennsylvania,Penncrest,,2023-2-01
7948,"Foley, Jessie Ann",The Carnival at Bray,North Carolina,Catawba County Schools,"Retained/Restricted, UPDATE: FEB 2024 - Hearing and decision soon, Restricted to HS, https://www.qcnews.com/news/u-s/north-carolina/catawba-county/catawba-county-schools-chooses-to-restrict-an-additional-book/, https://docs.google.com/spreadsheets/d/1t3g4jeRvZtX0e8g0qplRcBpJf0Ohr3oMQe52kBWGGVY/edit#gid=0, https://hickoryrecord.com/news/local/education/catawba-county-schools-book-challenges-hearing-deadline-extended-into-2024/article_5c238ab4-8e2c-11ee-8431-ffd3e4b03eb0.html",2022-3-01
7949,"Foley, Jessie Ann",The Carnival at Bray,Texas,Eanes,"Still in Process, High School",2022-3-01
7950,"Foley, Jessie Ann",The Carnival at Bray,Florida,Indian River County Schools,"Unknown, Status Change: 2/28/22",2021-11-01
7951,"Foley, Jessie Ann",The Carnival at Bray,Utah,Murray City School District,"Sent in 11/21 note to school.

School wanted individual complaints per book - no response from parent, online ""outrage""",2021-11-01
7952,"Alko, Selina",The Case for Loving: The Fight for Interracial Marriage,Pennsylvania,Central York School District,"Returned, Pulled (against policy)and returned to shelves after national outcry",2021-9-01
7953,"Preston, Natasha",The Cellar,North Carolina,Union Academy,Unknown,2022-01-01
7954,"Nazemian, Abdi",The Chandler Legacies,Florida,Clay County District Schools,"Retained/Restricted, Restricted to HS",2023-1-01
7955,"Tagholm, Sally",The Children's Bible,Missouri,Wentzville School District,,2022-9-01
7956,"Rowling, J. K.",The Christmas Pig,Texas,Katy ISD,"Retained, Elementary school and UP",2022-1-01
7957,"Irving, John",The Cider House Rules,Texas,Klein ISD,Unknown,2021-01-01
7958,"Irving, John",The Cider House Rules,Texas,McKinney,Unknown,2022-2-01
